code,entity,continent,year,gdp_per_cap,plastic_waste_per_cap,mismanaged_plastic_waste_per_cap,mismanaged_plastic_waste,coastal_pop,total_pop
BOL,Bolivia,South America,2010,5407.47022,NA,NA,NA,NA,9929849
BIH,Bosnia and Herzegovina,Europe,2010,9720.342177,0.144,0.061,12955,585582,3760149
BWA,Botswana,Africa,2010,13334.1988,NA,NA,NA,NA,2006945
BRA,Brazil,South America,2010,14537.56719,0.165,0.017,471404,74696771,194946470
VGB,British Virgin Islands,North America,2010,NA,0.252,0.005,55,29674,23245
BRN,Brunei,Asia,2010,80552.86447,0.026,0.001,93,359871,398920
BGR,Bulgaria,Europe,2010,15283.29148,0.154,0.051,18739,1002695,7494332
BFA,Burkina Faso,Africa,2010,1423.377706,NA,NA,NA,NA,16468714
BDI,Burundi,Africa,2010,763.8319302,NA,NA,NA,NA,8382849
KHM,Cambodia,Asia,2010,2522.926825,0.066,0.058,29686,1391254,14138255
CMR,Cameroon,Africa,2010,2929.829113,0.046,0.038,27713,1986723,19598889
CAN,Canada,North America,2010,40699.35513,0.093,0.002,7959,11846863,34016593
CPV,Cape Verde,Africa,2010,5828.241588,0.065,0.049,9347,522245,495999
CYM,Cayman Islands,North America,2010,NA,0.252,0.005,95,51864,56230
CAF,Central African Republic,Africa,2010,881.1445508,NA,NA,NA,NA,4401051
TCD,Chad,Africa,2010,1925.195118,NA,NA,NA,NA,11227208
CHL,Chile,South America,2010,19442.05032,0.119,0.011,21754,5621550,17113688
CHN,China,Asia,2010,9525.818483,0.121,0.092,8819717,262892387,1341335152
CXR,Christmas Island,Asia,2010,NA,0.252,0.005,3,1402,1400
CCK,Cocos Islands,Asia,2010,NA,0.252,0.005,1,596,596
COL,Colombia,South America,2010,10900.50528,0.144,0.034,92173,7498563,46294841
COM,Comoros,Africa,2010,1412.502687,0.201,0.169,58032,938595,734750
COG,Congo,Africa,2010,5186.344788,0.069,0.054,16766,847807,4042899
COK,Cook Islands,Oceania,2010,NA,0.144,0.054,416,20934,20288
CRI,Costa Rica,North America,2010,12999.99219,0.258,0.047,42090,2479298,4658887
CIV,Cote d'Ivoire,Africa,2010,2690.258002,0.103,0.086,194558,6230583,19737800
HRV,Croatia,Europe,2010,20171.95753,0.252,0.028,16461,1602782,4403330
CUB,Cuba,North America,2010,NA,0.089,0.022,90630,11333471,11257979
CUW,Curacao,North America,2010,NA,0.252,0.005,268,143784,NA
CYP,Cyprus,Europe,2010,33941.13802,0.248,0.006,1821,840556,1103647
CYP,Cyprus,Asia,2010,33941.13802,0.248,0.006,1821,840556,1103647
CZE,Czech Republic,Europe,2010,28352.9494,NA,NA,NA,NA,10492960
COD,Democratic Republic of Congo,Africa,2010,660.2109558,0.045,0.039,15208,1076056,65965795
DNK,Denmark,Europe,2010,43998.43667,0.047,0.001,1791,5376386,5550142
DJI,Djibouti,Africa,2010,NA,0.103,0.076,17324,621744,888716
DMA,Dominica,North America,2010,10198.27337,0.149,0.031,783,70138,67757
DOM,Dominican Republic,North America,2010,11132.55269,0.144,0.039,118226,8232586,9927320
ECU,Ecuador,South America,2010,9352.344237,0.147,0.047,109383,6400048,14464739
EGY,Egypt,Africa,2010,9857.468282,0.178,0.122,967012,21750943,81121077
SLV,El Salvador,North America,2010,6300.775388,0.147,0.051,118732,6410726,6192993
GNQ,Equatorial Guinea,Africa,2010,33723.3658,0.144,0.047,5977,351600,700401
ERI,Eritrea,Africa,2010,1416.365802,0.045,0.035,16259,1266222,5253676
EST,Estonia,Europe,2010,22740.972,0.176,0.019,5979,878021,1341140
ETH,Ethiopia,Africa,2010,1073.826295,NA,NA,NA,NA,82949541
FRO,Faeroe Islands,Europe,2010,NA,0.252,0.005,93,50554,48708
FLK,Falkland Islands,South America,2010,NA,0.252,0.005,5,2602,NA
FJI,Fiji,Oceania,2010,7352.08836,0.189,0.151,49257,896145,860623
FIN,Finland,Europe,2010,39848.1345,0.234,0.005,4985,2927674,5364546
FRA,France,Europe,2010,36855.84468,0.192,0.004,24109,17287280,62787427
GUF,French Guiana,South America,2010,NA,0.144,0.039,2360,167631,231151
PYF,French Polynesia,Oceania,2010,NA,0.252,0.013,1286,270618,270764
GAB,Gabon,Africa,2010,15355.78465,0.054,0.019,6087,862328,1505463
GMB,Gambia,Africa,2010,1644.242366,0.048,0.041,19616,1324214,1728394
GEO,Georgia,Europe,2010,6733.783761,0.068,0.035,14472,1124249,4352244
GEO,Georgia,Asia,2010,6733.783761,0.068,0.035,14472,1124249,4352244
DEU,Germany,Europe,2010,40428.72103,0.485,0.01,31239,8837035,82302465
GHA,Ghana,Africa,2010,3059.383626,0.04,0.032,91571,7727702,24391823
GIB,Gibraltar,Europe,2010,NA,0.252,0.005,65,33483,29244
GRC,Greece,Europe,2010,28726.07928,0.2,0.004,14229,9794702,11359346
GRL,Greenland,North America,2010,NA,0.252,0.005,105,57068,57296
GRD,Grenada,North America,2010,11177.99972,0.325,0.064,2248,96121,104487
GLP,Guadeloupe,North America,2010,NA,0.144,0.039,6564,466166,460666
GUM,Guam,Oceania,2010,NA,0.252,0.006,393,190809,179896
GTM,Guatemala,North America,2010,6714.063596,0.28,0.105,91563,2392442,14388929
GGY,Guernsey,Europe,2010,NA,0.252,0.005,103,56289,NA
GIN,Guinea,Africa,2010,1573.544958,0.03,0.025,18514,1996496,9981590
GNB,Guinea-Bissau,Africa,2010,1400.363293,0.054,0.046,20240,1208106,1515224
GUY,Guyana,South America,2010,5847.857255,0.586,0.224,42002,513235,754493
HTI,Haiti,North America,2010,1502.032711,0.09,0.044,147389,9155693,9993247
HND,Honduras,North America,2010,3971.182994,0.189,0.079,95638,3324144,7600524
HKG,Hong Kong,Asia,2010,48107.70863,0.398,0.01,28512,7573074,7053189
HUN,Hungary,Europe,2010,22404.2392,NA,NA,NA,NA,9983645
ISL,Iceland,Europe,2010,38978.0056,0.281,0.006,598,292708,320136
IND,India,Asia,2010,4404.697005,0.01,0.009,599819,187493433,1224614327
IDN,Indonesia,Asia,2010,8433.497357,0.057,0.047,3216856,187223476,239870937
